	article_id	article_auteur	article_section	article_titre	article_page	revue_annee	revue_numero	chapitre	article_SPE_seance
717	BSPE-1911-182	BENOIT-GONIN	Communication	Note sur le traitement du bouton d’Orient.	182	1911	4	Séance du 12 avril 1911. Communications. Note sur le traitement du bouton d'Orient, par Benoit-Gonin	12 avril 1911
718	BSPE-1911-185	NICOLLE (CHARLES), MANCEAUX (L.)	Communication	Application de l’arsénobenzol au traitement du bouton d’Orient.	185	1911	4	Séance du 12 avril 1911. Communications. Application de l'arsénobenzol au traitement du bouton d'Orient, par Charles Nicolle et L. Manceaux	12 avril 1911
719	BSPE-1911-187	NICOLLE (CHARLES), CORTESI (A.), LÉVY (E.)	Communication	Application de l’arsénobenzol au traitement du kala-azar de l’enfant.	187	1911	4	Séance du 12 avril 1911. Communications. Application de l'arsénobenzol au traitement du Kala-Azar de l'enfant, par Charles Nicolle, A. Cortesi et E. Lévy	12 avril 1911
720	BSPE-1911-189	DUFOUGERÉ (W.)	Communication	La maladie du sommeil et les trypanosomiases animales en Casamance.	189	1911	4	Séance du 12 avril 1911. Communications. Application de l'arsénobenzol au traitement du Kala-Azar de l'enfant, par Charles Nicolle, A. Cortesi et E. Lévy. (Institut Pasteur de Tunis.). / La maladie du sommeil et les trypanosomiases animales en Casamance, par W. Dufougeré	12 avril 1911
721	BSPE-1911-191	CARINI (A.)	Communication	Présence de trypanosomes chez les bovidés à Sâo-Paulo.	191	1911	4	Séance du 12 avril 1911. Communications. La maladie du sommeil et les trypanosomiases animales en Casamance, par W. Dufougeré. / Présence de trypanosomes chez les bovidés, à Sâo-Paulo, par A. Carini	12 avril 1911
722	BSPE-1911-193	LAVERAN (Alphonse)	Communication	Trypanosoma cazalboui ne doit pas être identifié à Trypypanosoma vivax.	193	1911	4	Séance du 12 avril 1911. Communications. “Trypanosoma Cazalboui” ne doit pas être identifié à “Trypanosoma vivax”, par A. Laveran	12 avril 1911
723	BSPE-1911-196	MARTIN (Gustave), RINGENBACH (J.)	Communication	Étude expérimentale du Trypanosoma congolense.	196	1911	4	Séance du 12 avril 1911. Communications. Etude expérimentale du Trypanosoma congolense, par G. Martin et Ringenbach	12 avril 1911
724	BSPE-1911-198	RODHAIN (J.), BEQUAERT (J.)	Communication	Présence de Leptomonas dans le latex d’une euphorbe congolaise.	198	1911	4	Séance du 12 avril 1911. Communications. Présence de Leptomonas dans le latex d'une euphorbe congolaise, par J. Rodhain et J. Bequaert	12 avril 1911
725	BSPE-1911-200	MESNIL (F.)	Discussion	Présence de Leptomonas dans le latex d’une euphorbe congolaise. (Discussion)	200	1911	4	Séance du 12 avril 1911. Communications. Présence de Leptomonas dans le latex d'une euphorbe congolaise, par J. Rodhain et J. Bequaert. / “Fasciolopsis Buski” au Tonkin. Son extrême rareté chez l'homme ; sa fréquence chez le porc, par C. Mathis et M. Leger	12 avril 1911
727	BSPE-1911-202	LEBŒUF (A.), JAVELLY (E.)	Communication	Un cas de filariose chez un Européen en Nouvelle-Calédonie.	202	1911	4	Séance du 12 avril 1911. Communications. “Fasciolopsis Buski” au Tonkin. Son extrême rareté chez l'homme ; sa fréquence chez le porc, par C. Mathis et M. Leger. / Un cas de filariose chez un Européen en Nouvelle-Calédonie, par A. Leboeuf et E. Javelly	12 avril 1911
728	BSPE-1911-205	SOREL (F.)	Communication	Absence d’éosinophilie dans un cas de Filaria loa.	205	1911	4	Séance du 12 avril 1911. Communications. Absence d'éosinophilie dans un cas de Filaria loa, par F. Sorel	12 avril 1911
729	BSPE-1911-206	BLANCHARD (M.)	Communication	Note sur le ver de Guinée dans la région du Haut-Sassandra (Côte d’Ivoire).	206	1911	4	Séance du 12 avril 1911. Communications. Absence d'éosinophilie dans un cas de Filaria loa, par F. Sorel. (Travail du laboratoire de Grand-Bassam.). / Note sur le ver de Guinée dans la région du Haut-Sassandra (Côte d'Ivoire), par M. Blanchard	12 avril 1911
730	BSPE-1911-210	LÉGER (A.)	Communication	Contribution à l’étude de l’histo-pathologie du Goundou.	210	1911	4	Séance du 12 avril 1911. Communications. Contribution à l'étude de l'histo-pathologie du goundou, par André Leger	12 avril 1911
731	BSPE-1911-213	CONSEIL (E.)	Communication	À propos de quelques cas de peste observés à Tunis en 1910.	213	1911	4	Séance du 12 avril 1911. Communications. Contribution à l'étude de l'histo-pathologie du goundou, par André Leger. / A propos de quelques cas de peste observés à Tunis en 1910, par E. Conseil	12 avril 1911
732	BSPE-1911-217	PRIMET (E.)	Communication	Sur l’emploi du vaccin antipesteux en Indochine.	217	1911	4	Séance du 12 avril 1911. Communications. A propos de quelques cas de peste observés à Tunis en 1910, par E. Conseil. (Institut Pasteur et bureau d'hygiène de Tunis.). / Sur l'emploi du vaccin antipesteux en Indochine, par Primet	12 avril 1911
733	BSPE-1911-219	POUMEYRAC	Communication	Épidémie de peste de Lang-Son en 1909.	219	1911	4	Séance du 12 avril 1911. Communications. Epidémie de peste de Lang-Son en 1909, par Poumayrac	12 avril 1911
734	BSPE-1911-220	DEVY	Communication	Épidémie de peste de Pnom-Penh en 1910. prophylaxie par l’emploi du vaccin antipesteux. 	220	1911	4	Séance du 12 avril 1911. Communications. Epidémie de peste de Lang-Son en 1909, par Poumayrac. / Epidémie de peste de Pnom-Penh en 1910 ; prophylaxie par l'emploi du vaccin antipesteux, par Devy	12 avril 1911
735	BSPE-1911-224	MANAUD (A.)	Communication	Prophylaxie de la peste par la désinfection pulicide.	224	1911	4	Séance du 12 avril 1911. Communications. Epidémie de peste de Pnom-Penh en 1910 ; prophylaxie par l'emploi du vaccin antipesteux, par Devy. / Prophylaxie de la peste par la désinfection “pulicide”, par A. Manaud.	12 avril 1911
736	BSPE-1911-227	O’ZOUX (L.L.)	Communication	Maladie de dépigmentation chez l’homme à la Réunion.	227	1911	4	Séance du 12 avril 1911. Communications. Prophylaxie de la peste par la désinfection “pulicide”, par A. Manaud... / Maladie de dépigmentation chez l'homme à La Réunion, par L.-L. O'Zoux	12 avril 1911
737	BSPE-1911-230	MANCEAUX (L.)	Communication	Procédé de coloration rapide par la teinture de Giemsa.	230	1911	4	Séance du 12 avril 1911. Communications. Maladie de dépigmentation chez l'homme à La Réunion, par L.-L. O'Zoux. / Procédé de coloration rapide par la teinture de Giemsa, par L. Manceaux	12 avril 1911
738	BSPE-1911-233	LAVERAN (Alphonse)	Mémoire	Contribution à l’étude de Trypanosoma brucei sans blépharoplaste de Werbitzki.	233	1911	4	Séance du 12 avril 1911. Mémoires. Contribution à l'étude du “Trypanosoma Brucei” sans blépharoplaste de Werbitzki, par A. Laveran	12 avril 1911
739	BSPE-1911-239	BOURRET (G.), WITH	Mémoire	Recherches sur le mode de propagation et les procédés de diagnostic bactériologique de la lèpre. EHLERS, 	239	1911	4	Séance du 12 avril 1911. Mémoires. Contribution à l'étude du “Trypanosoma Brucei” sans blépharoplaste de Werbitzki, par A. Laveran. / Recherches sur le mode de propagation et les procédés de diagnostic bactériologique de la lèpre, par Ehlers, Bourret et With	12 avril 1911
740	BSPE-1911-253	ORTHOLAN	Mémoire	La lèpre en Nouvelle-Calédonie.	253	1911	4	Séance du 12 avril 1911. Mémoires. Recherches sur le mode de propagation et les procédés de diagnostic bactériologique de la lèpre, par Ehlers, Bourret et With. / La lèpre en Nouvelle-Calédonie, par Ortholan	12 avril 1911
741	BSPE-1911-258	KIWTET DE JONGE (G.-H.)	Mémoire	Note sur les travaux publiés aux Indes Néerlandaises sur l’étiologie et la pathogénie du béribéri.	258	1911	4	Séance du 12 avril 1911. Mémoires. Note sur les travaux publiés aux Indes Néerlandaises sur l'étiologie et la pathogénie du béribéri, par G.-H. Kiewiet de Jonge	12 avril 1911
742	BSPE-1911-273	LAVERAN (Alphonse)		Au sujet de Trypanosoma brucei sans blépharoblaste de Werbitzki.	273	1911	4	Séance du 10 mai 1911. A propos du procès-verbal. Au sujet du “Trypanosoma Brucei” sans blépharoblaste de Werbitzki, par A. Laveran	10 mai 1911
743	BSPE-1911-276	NATTAN-LARRIER (L.)	Communication	Spirilles de la fièvre récurrente et mouches.	276	1911	4	Séance du 10 mai 1911. Communications. Spirilles de la fièvre récurrente et mouches, par L. Nattan-Larrier. (Communication faite à la séance précédente.)	10 mai 1911
744	BSPE-1911-278	LEBŒUF (A.)	Communication	Pseudo-érythème noueux d’origine lépreuse.	278	1911	4	Séance du 10 mai 1911. Communications. Spirilles de la fièvre récurrente et mouches, par L. Nattan-Larrier. (Communication faite à la séance précédente.). / Pseudo-érythème noueux d'origine lépreuse, par A. Leboeuf	10 mai 1911
745	BSPE-1911-283	ROSS (PH. H.)	Communication	Some experiments with vaccine prepared according to the method of Achalme and Marie Phisalix. (avec résumé français)	283	1911	4	Séance du 10 mai 1911. Communications. Some experiments with vaccine prepared according to the method of Achalme and Marie Phisalix, by Philipp H. Ross	10 mai 1911
746	BSPE-1911-285	LÉGER (Marcel)	Discussion	Some experiments with vaccine prepared according to the method of Achalme and Marie Phisalix. (Discussion)	285	1911	4	Séance du 10 mai 1911. Communications. Some experiments with vaccine prepared according to the method of Achalme and Marie Phisalix, by Philipp H. Ross	10 mai 1911
747	BSPE-1911-286	MANCEAUX (L.)	Communication	Sur la technique de culture des Leishmania. 	286	1911	4	Séance du 10 mai 1911. Communications. Some experiments with vaccine prepared according to the method of Achalme and Marie Phisalix, by Philipp H. Ross. / Sur la technique de culture des Leishmania, par L. Manceaux	10 mai 1911
748	BSPE-1911-289	CARINI (A.)	Communication	Leishmaniose de la muqueuse rhino-bucco-pharyngée.	289	1911	4	Séance du 10 mai 1911. Communications. Leishmaniose de la muqueuse rhino-bucco-pharyngée, par A. Carini	10 mai 1911
749	BSPE-1911-291	LEVADITI (C.), NATTAN-LARRIER (L.)	Communication	Traitement de la piroplasmose canine par l’arsénobenzol.	291	1911	4	Séance du 10 mai 1911. Communications. Leishmaniose de la muqueuse rhino-bucco-pharyngée, par A. Carini. (Institut Pasteur de S. Paul, Brésil.). / Traitement de la piroplasmose canine par l'arsénobenzol, par C. Levaditi et L. Nattan-Larrier	10 mai 1911
750	BSPE-1911-295	LAVERAN (Alphonse), MESNIL (F.)	Discussion	Traitement de la piroplasmose canine par l’arsénobenzol. (Discussion)	295	1911	4	Séance du 10 mai 1911. Communications. Traitement de la piroplasmose canine par l'arsénobenzol, par C. Levaditi et L. Nattan-Larrier. (Travail des laboratoires de M. Laveran et de M. Levaditi.)	10 mai 1911
751	BSPE-1911-296	LAMOUREUX (A.)	Communication	Un cas de paludisme chronique.	296	1911	4	Séance du 10 mai 1911. Communications. Traitement de la piroplasmose canine par l'arsénobenzol, par C. Levaditi et L. Nattan-Larrier. / Un cas de “Paludisme chronique”, par A. Lamoureux	10 mai 1911
752	BSPE-1911-299	LAVERAN (Alphonse), MOTY(F.), LEVADITI (C.)	Discussion	Un cas de paludisme chronique. (Discussion)	299	1911	4	Séance du 10 mai 1911. Communications. Un cas de “Paludisme chronique”, par A. Lamoureux. (Travail du laboratoire de M. Marchoux, à l'Institut Pasteur.)	10 mai 1911
753	BSPE-1911-301	GASTOU (P.), DUFOUGERÉ (W.)	Communication	Paludisme et fièvre bilieuse hémoglobinurique.	301	1911	4	Séance du 10 mai 1911. Communications. Un cas de “Paludisme chronique”, par A. Lamoureux. / Paludisme et fièvre bilieuse hémoglobinurique, par P. Gastou et W. Dufougeré	10 mai 1911
754	BSPE-1911-303	CARDAMATIS (J.P.)	Communication	Traitement de 115 cas d’hémoglobinurie chez des paludéens.	303	1911	4	Séance du 10 mai 1911. Communications. Paludisme et fièvre bilieuse hémoglobinurique, par P. Gastou et W. Dufougeré. / Traitement de 115 cas d'hémoglobinurie chez des paludéens, par Jean Cardamatis	10 mai 1911
755	BSPE-1911-306	BERTRAND (Louis-Edmond), LAVERAN (Alphonse), MARCHOUX (Emile)	Discussion	Traitement de 115 cas d’hémoglobinurie chez des paludéens. (Discussion)	306	1911	4	Séance du 10 mai 1911. Communications. Traitement de 115 cas d'hémoglobinurie chez des paludéens, par Jean Cardamatis	10 mai 1911
756	BSPE-1911-309	YAKIMOFF (W.L.), KOHL-YAKIMOFF (Nina)	Communication	Sur la présence de trypanosomes dans le sang des Bovidés à Tunis.	309	1911	4	Séance du 10 mai 1911. Communications. Sur la présence de trypanosomes dans le sang des bovidés à Tunis, par W. L. Yakimoff et Nina Kohl-Yakimoff... (Institut Pasteur de Tunis.)	10 mai 1911
757	BSPE-1911-310	MARTIN (Gustave), LEBŒUF (A.), RINGENBACH (J.)	Communication	Traitement de la maladie du sommeil par l’atoxyl-orpiment.	310	1911	4	Séance du 10 mai 1911. Communications. Sur le traitement de la maladie du sommeil par l'association atoxyl-orpiment, par G. Martin, Leboeuf et Ringenbach	10 mai 1911
758	BSPE-1911-315	MATHIS (C.), LÉGER (Marcel)	Communication	Contribution à l’hématologie du béribéri et du scorbut.	315	1911	4	Séance du 10 mai 1911. Communications. Sur le traitement de la maladie du sommeil par l'association atoxyl-orpiment, par G. Martin, Leboeuf et Ringenbach. / Contribution à l'hématologie du béribéri et du scorbut, par C. Mathis et M. Leger	10 mai 1911
759	BSPE-1911-320	MATHIS (C.), LÉGER (Marcel)	Communication	De l’image d’Arneth dans le béribéri et le scorbut.	320	1911	4	Séance du 10 mai 1911. Communications. Contribution à l'hématologie du béribéri et du scorbut, par C. Mathis et M. Leger. (Travail des laboratoires d'Hanoï, Tonkin.). / De “l'image d'Arneth” dans le béribéri et le scorbut, par C. Mathis et M. Leger	10 mai 1911
760	BSPE-1911-322	MANAUD (A.)	Communication	Traitement de la dysenterie amibienne par la poudre d’ipéca désémétinisée.	322	1911	4	Séance du 10 mai 1911. Communications. De “l'image d'Arneth” dans le béribéri et le scorbut, par C. Mathis et M. Leger. / Traitement de la dysenterie amibienne par la poudre d'ipéca désémétinisée, par A. Manaud	10 mai 1911
761	BSPE-1911-325	BERTRAND (Louis-Edmond)	Discussion	Traitement de la dysenterie amibienne par la poudre d’ipéca désémétinisée. (Discussion) 	325	1911	4	Séance du 10 mai 1911. Communications. Traitement de la dysenterie amibienne par la poudre d'ipéca désémétinisée, par A. Manaud. / Influence des vents dominants sur le développement des larves de culex et d'anophèles, par A. M. de Fossey	10 mai 1911
763	BSPE-1911-329	LAVERAN (Alphonse)	Discussion	Influence des vents dominants sur les larves de Culex et d’Anopheles. (Discussion)	329	1911	4	Séance du 10 mai 1911. Communications. Influence des vents dominants sur le développement des larves de culex et d'anophèles, par A. M. de Fossey. (Service médical du poste militaire de Berkan, Maroc.)	10 mai 1911
764	BSPE-1911-330	LAMBERT (P.)	Communication	La méthode biologique d’épuration des eaux d’égouts et l’assainissement des villes de l’Indochine. 	330	1911	4	Séance du 10 mai 1911. Communications. La méthode biologique d'épuration des eaux d'égout et l'assainissement des villes de l'Indochine, par P. Lambert	10 mai 1911
765	BSPE-1911-334	DARLING (S.T.)	Mémoire	The intestinal worms of three hundred insane patients detected by special methods. (avec résumé français)	334	1911	4	Séance du 10 mai 1911. Mémoires. The intestinal worms of three hundred insane patients detected by special methods, by Dr. S. T. Darling	10 mai 1911
766	BSPE-1911-342	LÉGER (Marcel)	Discussion	The intestinal worms of three hundred insane patients detected by special methods. (Discussion) 	342	1911	4	Séance du 10 mai 1911. Mémoires. The intestinal worms of three hundred insane patients detected by special methods, by Dr. S. T. Darling	10 mai 1911
767	BSPE-1911-345	ACHALME		À propos des communications de MM. Ross et Léger, sur la vaccination à l’aide de vaccin desséché par la méthode Achalme-Phisalix.	345	1911	4	Séance du 14 juin 1911. A propos du procès-verbal. A propos des communications de MM. Ross et Leger sur la vaccination à l'aide du vaccin desséché par la méthode Achalme-Phisalix, par Achalme	14 juin 1911
768	BSPE-1911-347	MONTEL (Marie-Louis-René)		Rapport fait au nom de la commission des eaux de boisson de la ville de Saïgon.	347	1911	4	Séance du 14 juin 1911. Rapport fait au nom de la commission des eaux de boisson de la ville de Saïgon, par L. R. Montel	14 juin 1911
769	BSPE-1911-351	MANAUD (A.)	Communication	La peste au Siam.	351	1911	4	Séance du 14 juin 1911. Communications. La peste au Siam, par A. Manaud	14 juin 1911
770	BSPE-1911-356	LAVERAN (Alphonse), VALLIN (), MARCHOUX (Emile)	Discussion	La peste au Siam. (Discussion)	356	1911	4	Séance du 14 juin 1911. Communications. La peste au Siam, par A. Manaud	14 juin 1911
771	BSPE-1911-358	FRANÇA (C.)	Communication	Le choléra à Madère.	358	1911	4	Séance du 14 juin 1911. Communications. La peste au Siam, par A. Manaud. / Le choléra à Madère, par C. França	14 juin 1911
772	BSPE-1911-364	LAURENT(A.), HUDELLET (G.)	Communication	Un cas d’Aïnhun.	364	1911	4	Séance du 14 juin 1911. Communications. Un cas d'aïnhum, par Laurent et G. Hudellet	14 juin 1911
773	BSPE-1911-366	CONOR (A.), BRUCH (A.)	Communication	Un cas de blastomycose humaine observée en Tunisie.	366	1911	4	Séance du 14 juin 1911. Communications. Un cas d'aïnhum, par Laurent et G. Hudellet. / Un cas de blastomycose humaine observé en Tunisie, par A. Conor et A. Bruch	14 juin 1911
774	BSPE-1911-369	TAHSIM (I.)	Communication	Existence de la spirillose humaine à Tripoli de Barbarie.	369	1911	4	Séance du 14 juin 1911. Communications. Existence de la spirillose humaine à Tripoli de Barbarie, par Tahsim Ibrahim. (Hôpital militaire de Tripoli de Barbarie et Institut Pasteur de Tunis.)	14 juin 1911
775	BSPE-1911-370	NATTAN-LARRIER (L.)	Communication	Auto-agglutination des hématies dans la piroplasmose canine.	370	1911	4	Séance du 14 juin 1911. Communications. Auto-agglutination des hématies dans la piroplasmose canine, par L. Nattan-Larrier	14 juin 1911
776	BSPE-1911-373	BOURRET (G.)	Communication	La toxoplasmose du lapin à Saint-Louis du Sénégal.	373	1911	4	Séance du 14 juin 1911. Communications. Auto-agglutination des hématies dans la piroplasmose canine, par L. Nattan-Larrier. (Travail du laboratoire de M. Laveran.). / La toxoplasmose du lapin à St-Louis du Sénégal, par G. Bourret	14 juin 1911
777	BSPE-1911-377	CARDAMATIS (J.P.), PHOTINOS (S.)	Communication	Trypanosomes dans le sang des bovidés en Grèce.	377	1911	4	Séance du 14 juin 1911. Communications. Trypanosomes dans le sang des bovidés en Grèce, par Jean P. Cardamatis et Socrate Photinos. (Institut anatomo-pathologique de l'Université d'Athènes.)	14 juin 1911
778	BSPE-1911-378	MANCEAUX (L.), YARIMOFF (W.L.), KOHL-YAKIMOFF (Nina)	Communication	Culture et morphologie du trypanosome du type Typetheileri des bœufs tunisiens. 	378	1911	4	Séance du 14 juin 1911. Communications. Culture et morphologie du trypanosome du type Theileri des boeufs tunisiens, par L. Manceaux, W. L. Yakimoff et Nina Kohl Yakimoff	14 juin 1911
779	BSPE-1911-380	BRIDRE (J.), NÈGRE (L.), TROUETTE (G.)	Communication	Essais de traitement de la lymphangite épizootique par le 606.	380	1911	4	Séance du 14 juin 1911. Communications. Culture et morphologie du trypanosome du type Theileri des boeufs tunisiens, par L. Manceaux, W. L. Yakimoff et Nina Kohl Yakimoff. (Institut Pasteur de Tunis.). / Essais de traitement de la lymphangite épizootique par le “606”, par J. Bridré, L. Nègre et G. Trouette	14 juin 1911
780	BSPE-1911-384	NÈGRE (L.), BRIDRE (J.)	Communication	Un cas de lymphangite épizootique chez l’homme. Traitement et guérison par le 606.	384	1911	4	Séance du 14 juin 1911. Communications. Un cas de lymphangite épizootique chez l'homme. Traitement et guérison par le “606”, par L. Nègre et J. Bridré	14 juin 1911
781	BSPE-1911-386	RAILLIET (A.), HENRY (A.)	Communication	Sur une filaire péritonéale des porcins.	386	1911	4	Séance du 14 juin 1911. Communications. Un cas de lymphangite épizootique chez l'homme. Traitement et guérison par le “606”, par L. Nègre et J. Bridré. (Institut Pasteur d'Algérie.). / Sur une filaire péritonéale des porcins, par A. Railliet et A. Henry	14 juin 1911
782	BSPE-1911-389	MESNIL (F.)	Discussion	Sur une filaire péritonéale des porcins. (Discussion)	389	1911	4	Séance du 14 juin 1911. Communications. Sur une filaire péritonéale des porcins, par A. Railliet et A. Henry	14 juin 1911
783	BSPE-1911-390	NOC (F.)	Communication	Les parasites intestinaux à la Martinique.	390	1911	4	Séance du 14 juin 1911. Communications. Les parasites intestinaux à la Martinique, par F. Noc	14 juin 1911
784	BSPE-1911-395	BROQUET (CH.)	Communication	Culicides de Cochinchine.	395	1911	4	Séance du 14 juin 1911. Communications. Les parasites intestinaux à la Martinique, par F. Noc. (Institut d'hygiène et de microbiologie de Fort-de-France.). / Culicides de Cochinchine, par Ch. Broquet	14 juin 1911
785	BSPE-1911-396	ROUBAUD (É.)	Communication	Stomoxes nouveaux du Soudan.	396	1911	4	Séance du 14 juin 1911. Communications. Stomoxes nouveaux du Soudan, par E. Roubaud	14 juin 1911
786	BSPE-1911-399	CONSEIL (E.)	Communication	Le cancer en Tunisie.	399	1911	4	Séance du 14 juin 1911. Communications. Stomoxes nouveaux du Soudan, par E. Roubaud. [(Mission de l'Institut Pasteur en A. O. F.). Niamey, 20 mars.]. / Le cancer en Tunisie, par E. Conseil	14 juin 1911
787	BSPE-1911-403	MATHIS (C.), LÉGER (Marcel)	Mémoire	Traitement du Surra d’Indochine par l’arsénophénylglycine d’Ehrlich.	403	1911	4	Séance du 14 juin 1911. Mémoires. Traitement du surra de l'Indochine par l'arsénophénylglycine d'Ehrlich, par C. Mathis et M. Leger	14 juin 1911
788	BSPE-1911-411	VALLIN	Discussion	Traitement du Surra d’Indochine par l’arsénophénylglycine d’Ehrlich. (Discussion)	411	1911	4	Séance du 14 juin 1911. Mémoires. Traitement du surra de l'Indochine par l'arsénophénylglycine d'Ehrlich, par C. Mathis et M. Leger. / L'arsénophénylglycine dans le traitement de la trypanosomiase humaine, par P. Aubert et F. Heckenroth	14 juin 1911
790	BSPE-1911-419	AUBERT (P.), HECKENROTH (F.)	Mémoire	Prophylaxie de la trypanosomiase humaine et arsénophénylglycine en injections intra-veineuses. 	419	1911	4	Séance du 14 juin 1911. Mémoires. Prophylaxie de la trypanosomiase humaine et arsénophénylglycine en injections intra-veineuses, par P. Aubert et F. Heckenroth	14 juin 1911
791	BSPE-1911-421	FOLEY (H.)	Mémoire	Parasitisme intestinal chez les Berbères sédentaires de Figuig. Fréquence d’Hymenolepis nana dans la poplution infentile.	421	1911	4	Séance du 14 juin 1911. Mémoires. Parasitisme intestinal chez les Berbères sédentaires de Figuig. - Fréquence d'“Hymenolepis nana” dans la population infantile, par H. Foley	14 juin 1911
792	BSPE-1911-429	BRUMPT (Emile), MOTY (F.)	Discussion	Parasitisme intestinal chez les Berbères sédentaires de Figuig. Fréquence d’Hymenolepis nana dans la poplution infentile. (Discussion)	429	1911	4	Séance du 14 juin 1911. Mémoires. Parasitisme intestinal chez les Berbères sédentaires de Figuig. - Fréquence d'“Hymenolepis nana” dans la population infantile, par H. Foley. (Institut Pasteur d'Algérie.)	14 juin 1911
793	BSPE-1911-434	LAVERAN (Alphonse)		Discussion du rapport de la Commission des eaux de Saïgon.	434	1911	4	Séance du 12 juillet 1911. Discussion du rapport de la commission des eaux de Saïgon	12 juillet 1911
794	BSPE-1911-435	LEMAIRE (G.)	Communication	Petite épidémie de typhus récurrent observée à Alger pendant l’année 1910.	435	1911	4	Séance du 12 juillet 1911. Communications. Petite épidémie de typhus récurrent observée à Alger pendant l'année 1910, par G. Lemaire	12 juillet 1911
795	BSPE-1911-438	SERGENT (ED.), GILLOT (V.), FOLEY (H.)	Communication	La spirillose nord-africaine et sa transmission par les poux.	438	1911	4	Séance du 12 juillet 1911. Communications. La spirillose nord-africaine et sa transmission par les poux, par Ed. Sergent, V. Gillot et H. Foley	12 juillet 1911
796	BSPE-1911-440	SERGENT (ED.), GILLOT (V.)	Communication	Traitement de la spirillose nord-africaine par l’arsénobenzol.	440	1911	4	Séance du 12 juillet 1911. Communications. La spirillose nord-africaine et sa transmission par les poux, par Ed. Sergent, V. Gillot et H. Foley. (Institut Pasteur d'Algérie.). / Traitement de la spirillose nord africaine par l'arsénobenzol, par Ed. Sergent et Victor Gillot	12 juillet 1911
797	BSPE-1911-446	MATHIS (C.), LÉGER (Marcel)	Communication	Hémogrégarines de Reptiles et de Batraciens du Tonkin.	446	1911	4	Séance du 12 juillet 1911. Communications. Traitement de la spirillose nord africaine par l'arsénobenzol, par Ed. Sergent et Victor Gillot. (Institut Pasteur d'Algérie.). / Hémogrégarines de reptiles et de batraciens du Tonkin, par C. Mathis et M. Leger	12 juillet 1911
798	BSPE-1911-451	YAKIMOFF (W.L.), KOHL-YAKIMOFF (Nina)	Communication	Piroplasmose des Zébus et leurs produits de croisement en Tunisie.	451	1911	4	Séance du 12 juillet 1911. Communications. Hémogrégarines de reptiles et de batraciens du Tonkin, par C. Mathis et M. Leger. / Piroplasmose des zébus et de leurs produits de croisement en Tunisie, par W. L. Yakimoff et Nina Kohl-Yakimoff.	12 juillet 1911
799	BSPE-1911-452	YAKIMOFF (W.L.), KOHL-YAKIMOFF (Nina)	Communication	Leishmaniose canine à Tunis.	452	1911	4	Séance du 12 juillet 1911. Communications. Piroplasmose des zébus et de leurs produits de croisement en Tunisie, par W. L. Yakimoff et Nina Kohl-Yakimoff... (Institut Pasteur de Tunis.). / Leishmaniose canine à Tunis, par W. L. Yakimoff et Nina Kohl-Yakimoff.	12 juillet 1911
800	BSPE-1911-454	CARDAMATIS (J.P.), MELISSIDIS (A.)	Communication	Deux cas de bouton d’Orient, dont le premier très rare  antagonisme probable entre le bouton d’Orient et le kala-azar.	454	1911	4	Séance du 12 juillet 1911. Communications. Deux cas de bouton d'Orient, dont le premier très rare ; antagonisme probable entre le bouton d'Orient et le Kala-azar, par Jean P. Cardamatis et Apollodore Melissidis	12 juillet 1911
801	BSPE-1911-459	CARDAMATIS (J.P.), MELISSIDIS (A.)	Communication	Du rôle probable de la mouche domestique dans la transmission des Leishmania. 	459	1911	4	Séance du 12 juillet 1911. Communications. Du rôle probable de la mouche domestique dans la transmission des “Leishmania”, par Jean P. Cardamatis et Apollodore Mélissidis	12 juillet 1911
802	BSPE-1911-461	NOC (F.), STÉVENEL (L.)	Communication	Présence à la Martinique de Leptomonas davidi Lafont.	461	1911	4	Séance du 12 juillet 1911. Communications. Du rôle probable de la mouche domestique dans la transmission des “Leishmania”, par Jean P. Cardamatis et Apollodore Mélissidis. / Présence à la Martinique de “Leptomonas Davidi” Lafont, par F. Noc et L. Stévenel	12 juillet 1911
803	BSPE-1911-464	MESNIL (F.), MATHIS (C.)	Discussion	Présence à la Martinique de Leptomonas davidi Lafont. (Discussion)	464	1911	4	Séance du 12 juillet 1911. Communications. Présence à la Martinique de “Leptomonas Davidi” Lafont, par F. Noc et L. Stévenel. (Institut d'hygiène et de microbiologie de Fort-de-France.). / Observations sur Leptomonas davidi, par A. Lafont	12 juillet 1911
805	BSPE-1911-467	CHAGAS (C.)	Communication	Le cycle de Schizotrypanum cruzi chez l’homme et les animaux de laboratoire.	467	1911	4	Séance du 12 juillet 1911. Communications. Observations sur Leptomonas davidi, par A. Lafont. / Le cycle de “Schizotrypanum Cruzi” chez l'homme et les animaux de laboratoire, par Carlos Chagas	12 juillet 1911
806	BSPE-1911-472	LAVERAN (Alphonse)	Communication	L’arsénobenzol dans le traitement des cobayes et des chiens infectés par Trypanosoma gambiense. 	472	1911	4	Séance du 12 juillet 1911. Communications. L'arsénobenzol dans le traitement des cobayes et des chiens infectés par le Trypanosoma gambiense, par A. Laveran	12 juillet 1911
807	BSPE-1911-476	MESNIL (F.)	Discussion	L’arsénobenzol dans le traitement des cobayes et des chiens infectés par Trypanosoma gambiense. (Discussion)	476	1911	4	Séance du 12 juillet 1911. Communications. L'arsénobenzol dans le traitement des cobayes et des chiens infectés par le Trypanosoma gambiense, par A. Laveran	12 juillet 1911
