	Unnamed: 0	cote	article_id	chapitre	revue_annee	page	article_description	article_section
10196	27201	90156x1891x55	AMN-1891-352	Pensions et gratifications de réforme certificats médicaux. Annexes. - Modèles de certificats. Décret modifiant le décret du 10 août 1886, relatif aux délais d'instance en matière de pensions à titre d'aggravation de blessures ou d'infirmités. (Du 15 mai 1889.)	1891	352		article
10197	27203	90156x1891x55	AMN-1891-354	Pensions et gratifications de réforme certificats médicaux. Annexes. - Modèles de certificats. Décret modifiant le décret du 10 août 1886, relatif aux délais d'instance en matière de pensions à titre d'aggravation de blessures ou d'infirmités. (Du 15 mai 1889.). Envoi d'une instruction sur les gratifications de réforme renouvelables	1891	354		article
10200	27214	90156x1891x55	AMN-1891-365	Pensions et gratifications de réforme certificats médicaux. Nouvelle classification des blessures ou infirmités ouvrant des droits à la pension de retraite. / I. - Conditions générales du droit à la pension pour blessures ou infirmités. / II. - Attributions des médecins experts et des officiers du commissariat	1891	365		article
10201	27215	90156x1891x55	AMN-1891-366	Pensions et gratifications de réforme certificats médicaux. Nouvelle classification des blessures ou infirmités ouvrant des droits à la pension de retraite. / III. - Rédaction des certificats médicaux. / IV. - Règles générales de classification. / V. - Cinquième classe de l'échelle de gravité	1891	366		article
10202	27216	90156x1891x55	AMN-1891-367	Pensions et gratifications de réforme certificats médicaux. Nouvelle classification des blessures ou infirmités ouvrant des droits à la pension de retraite. V. - Cinquième classe de l'échelle de gravité. / VI. - Équivalences. / VII. - Droit résultant d'infirmités simultanées. / VIII. - Prédisposition constitutionnelle	1891	367		article
10203	27217	90156x1891x55	AMN-1891-368	Pensions et gratifications de réforme certificats médicaux. Nouvelle classification des blessures ou infirmités ouvrant des droits à la pension de retraite. VIII. - Prédisposition constitutionnelle. / IX. - Influence de la durée des services	1891	368		article
10204	27218	90156x1891x55	AMN-1891-369	Pensions et gratifications de réforme certificats médicaux. Nouvelle classification des blessures ou infirmités ouvrant des droits à la pension de retraite. IX. - Influence de la durée des services. / X. - Profession exercée avant l'incorporation. / XI. - Rôle du conseil supérieur de santé. / XII. - Réfus de pension	1891	369		article
10205	27219	90156x1891x55	AMN-1891-370	Pensions et gratifications de réforme certificats médicaux. Nouvelle classification des blessures ou infirmités ouvrant des droits à la pension de retraite. XII. - Réfus de pension. [E. Barbey.]. / Tableau de la classification des blessures ou infirmités ouvrant des droits à la pension suivant les catégories fixées par les lois des 11 et 18 avril 1831. / 1re classe. / 2e classe. / 3e classe	1891	370		article
10206	27220	90156x1891x55	AMN-1891-371	Pensions et gratifications de réforme certificats médicaux. Tableau de la classification des blessures ou infirmités ouvrant des droits à la pension suivant les catégories fixées par les lois des 11 et 18 avril 1831. / 4e classe. Perte absolue de l'usage de deux membres. Infirmités équivalentes. / 5e classe. Perte absolue de l'usage d'un membre. Infirmités équivalentes	1891	371		article
10207	27223	90156x1891x55	AMN-1891-374	Pensions et gratifications de réforme certificats médicaux. Tableau de la classification des blessures ou infirmités ouvrant des droits à la pension suivant les catégories fixées par les lois des 11 et 18 avril 1831. 5e classe. Perte absolue de l'usage d'un membre. Infirmités équivalentes. / 6e classe	1891	374		article
10208	27225	90156x1891x55	AMN-1891-376	Le pays du Bénin. Par M. le docteur B. Giraud	1891	376	 / Description succincte du pays	article
10233	27273	90156x1891x55	AMN-1891-424	Statistique des inoculations amariles au moyen de moustiques contaminés. Par les docteurs Finlay et Delgado. / Note lue le 14 décembre 1890 par le docteur C. Finlay à la session ordinaire de l'académie royale des sciences médicales, physiques et naturelles de la Havane. Traduit de l'espagnol par le docteur L. Vincent	1891	424		article
10234	27275	90156x1891x55	AMN-1891-426	Statistique des inoculations amariles au moyen de moustiques contaminés. Par les docteurs Finlay et Delgado. Note lue le 14 décembre 1890 par le docteur C. Finlay à la session ordinaire de l'académie royale des sciences médicales, physiques et naturelles de la Havane. Traduit de l'espagnol par le docteur L. Vincent	1891	426	 / Groupe A. / Groupe B. / Groupe C. / Groupe D	article
10239	27283	90156x1891x55	AMN-1891-434	III. Chronique documentaire. Modifications chimiques subies par certains acides gras au cours du soufflage des matières grasses. Par M. le pharmacien-chimiste de 1re classe Le Gousse, 	1891	434	 / Oxydation par soufflage d'une oléine commerciale	article
10249	27294	90156x1891x55	AMN-1891-445	Étude critique des procédés d'épuration et de stérilisation des eaux de boisson. Par M. le docteur Gabriel Pouchet	1891	445		article
10250	27300	90156x1891x55	AMN-1891-451	Étude critique des procédés d'épuration et de stérilisation des eaux de boisson. Par M. le docteur Gabriel Pouchet. / Chaudière. / Échangeur	1891	451		article
10251	27301	90156x1891x55	AMN-1891-452	Étude critique des procédés d'épuration et de stérilisation des eaux de boisson. Par M. le docteur Gabriel Pouchet. Échangeur. / Complément d'échangeur. / Clarificateur	1891	452		article
10252	27304	90156x1891x55	AMN-1891-455	Étude critique des procédés d'épuration et de stérilisation des eaux de boisson. Par M. le docteur Gabriel Pouchet. Clarificateur. / Résultats de l'analyse de l'eau stérilisée par l'appareil de MM. Rouart, Geneste et Herscher	1891	455		article
10253	27308	90156x1891x55	AMN-1891-459	Étude critique des procédés d'épuration et de stérilisation des eaux de boisson. Par M. le docteur Gabriel Pouchet. Clarificateur. Résultats de l'analyse de l'eau stérilisée par l'appareil de MM. Rouart, Geneste et Herscher. / Notes sur les chéloïdes observées chez le noir et principalement sur la chéloïde de l'oreille. Par M. le Dr A. Clarac	1891	459		article
10256	27312	90156x1891x55	AMN-1891-463	Notes sur les chéloïdes observées chez le noir et principalement sur la chéloïde de l'oreille. Par M. le Dr A. Clarac	1891	463	 Causes déterminantes. / Symptômes	article
10261	27321	90156x1891x55	AMN-1891-472	Note sur l'emploi topique de la rhubarbe contre la trichophytie circinée. Par M. le Dr L.-E. Bertrand	1891	472	 / Note sur l'entéro-colite chronique endémique des pays chauds. Par les médecins principaux Dr L.-E. Bertrand... Dr J. Fontan..	article
10262	27323	90156x1891x55	AMN-1891-474	VII. Errata. Traumatismes de l'abdomen. Par M. le médecin principal Morvan, 	1891	474	 Contusions de l'abdomen. / a. Rôle du médecin de garde. / Examen du blessé	article
10265	27331	90156x1891x56	AMN-1891-[sans numérotation]	I. Notes historiques. Ce qu'à vu et su des combats de dixmude (16 octobre-16 novembre 1914). P. Petit-Dutaillis	1891	[sans numérotation]	 I. But de ce travail. / II. La brigade se forme : apports officiels et système D	article
10278	27350	90156x1891x56	AMN-1891-22	Campagne du Soudan 1889-1890. Histoire médicale. Par M. le Dr F. Durand	1891	22	 Hygiène. Postes. / Bakel	article
10293	27368	90156x1891x56	AMN-1891-40	De l'antisepsie médicale et chirurgicale dans les hôpitaux militaires pourvus d'une étuve à désinfection sous pression. Par le Dr Linon	1891	40		article
10301	27381	90156x1891x56	AMN-1891-53	II. Mémoires originaux. Recherches expérimentales sur la toxicité des peintures bitumeuses du type kerbitum ou néobitum en usage dans la marine. Par M. le médecin en chef de 1er classe Héderer, 	1891	53	 A. Composition chimique. Kerbitum. / Néobitum. / Toxicologie des hydrocarbures	article
10313	27397	90156x1891x56	AMN-1891-69	III. Chronique documentaire. Maladies dominantes à Dakar. Par M. le médecin principal Deney, 	1891	69	 Paludisme. / Lutte contre le paludisme. / Mesures collectives. / A. Dans la circonscription	article
10318	27417	90156x1891x56	AMN-1891-92	Analyse des eaux du Gabon et du Congo. Par M. Liotard	1891	92	 / Région de Libreville	article
10320	27422	90156x1891x56	AMN-1891-97	Tumeur du crâne d'origine osseuse et d'apparence anévrysmale observée à l'hôpital indigène de My-Tho (Cochinchine). Par le Docteur Baurac	1891	97	 / Description de la tumeur	article
10337	27450	90156x1891x56	AMN-1891-125	La division navale de Terre-Neuve pendant l'année 1890. Par M. le Docteur Jan	1891	125	 I Lapérouse. / Le navire - Son hygiène	article
10357	27480	90156x1891x56	AMN-1891-155	Variétés. / L'État sanitaire de la marine allemande du 1er août 1887 au 31 mars 1889	1891	155		article
10360	27486	90156x1891x56	AMN-1891-161	Contribution à la géographie médicale des établissements français dans l'Inde. / Chandernagor. Par le Docteur G. Guilloteau	1891	161	 / Aperçu historique	article
10361	27487	90156x1891x56	AMN-1891-162	Contribution à la géographie médicale des établissements français dans l'Inde. Chandernagor. Par le Docteur G. Guilloteau	1891	162	 Aperçu historique. / I Topographie	article
10409	27559	90156x1891x56	AMN-1891-234	Les pontons-hôpitaux au Gabon. Par M. le Docteur David	1891	234	 Considérations préliminaires. / Des pontons-hôpitaux	article
10419	27582	90156x1891x56	AMN-1891-257	Organisation et fonctionnement de l'institut de vaccine animale créé à Saïgon en 1891. Par le Docteur Albert Calmette	1891	257	 VI Résultats statistiques. / Les pontons-hôpitaux au Gabon. Par M. le Docteur David... (Suite et fin.)	article
10423	27587	90156x1891x56	AMN-1891-262	I. Mémoires originaux. / La fièvre jaune dans la circonscription de Dakar et dépendances. Par M. le médecin en chef de 2e classe Canton, 	1891	262		article
10424	27590	90156x1891x56	AMN-1891-265	I. Mémoires originaux. La fièvre jaune dans la circonscription de Dakar et dépendances. Par M. le médecin en chef de 2e classe Canton, 	1891	265	 Vaccination anti-amarile en Afrique occidentale française. / Vaccination mixte contre la fièvre jaune et la variole	article
10426	27594	90156x1891x56	AMN-1891-269	I. Mémoires originaux. Recherches expérimentales sur une substance bactériolytique dérivée des germes antagonistes. Ses applications dans la thérapeutique de la diphtérie. Par M. le médecin en chef de 2e classe Duliscouet	1891	269	 / Phénomènes favorisant	article
10455	27637	90156x1891x56	AMN-1891-312	Délivrance des congés de réforme n° 1. / Formalités à remplir	1891	312		article
10458	27644	90156x1891x56	AMN-1891-321	Organisation des infirmeries-ambulances en Annam-Tonkin. / Extrait du rapport médical pour l'année 1890. Du Docteur De Fornel	1891	321		article
10459	27647	90156x1891x56	AMN-1891-324	Organisation des infirmeries-ambulances en Annam-Tonkin. Extrait du rapport médical pour l'année 1890. Du Docteur De Fornel	1891	324	 / Notes sur la rage en Indo-Chine et les vaccinations antirabiques pratiquées à Saïgon du 15 avril au 1er août 1891. Par M. le Docteur Albert Calmette..	article
10460	27649	90156x1891x56	AMN-1891-326	Notes sur la rage en Indo-Chine et les vaccinations antirabiques pratiquées à Saïgon du 15 avril au 1er août 1891. Par M. le Docteur Albert Calmette	1891	326	 / I Observations sur la rage humaine en Indo-Chine. / Observ. I	article
10469	27672	90156x1891x56	AMN-1891-349	Hépatite suppurative et abcès du foie en Nouvelle-Calédonie. Statistiques, étiologie, pathogénie, traitement. Par le Docteur M.-A. Legrand	1891	349	 Étiologie. Causes prédisposantes. b. Particulières. / Hépatite antérieure. / Ecarts de régime. - Alcoolisme	article
10489	27712	90156x1891x56	AMN-1891-397	Pensions et gratifications de réforme. Renseignements complémentaires	1891	397		article
10492	27716	90156x1891x56	AMN-1891-401	Note sur le cornet à chloroforme en usage dans la marine. Par M. le Docteur Bérenger-Féraud	1891	401		article
10493	27723	90156x1891x56	AMN-1891-408	II. Chronique documentaire. Notes sur les eaux d'alimentation de la ville de Dakar par M. le médecin chef de 2e classe Canton 	1891	408	 I. Historique. Centre de captage du Point B. / II. État actuel des centres de captage	article
10532	27765	90156x1891x56	AMN-1891-450	Table des matières de l'instruction sur les infirmités, maladies ou vices de conformation qui rendent impropre au service de la flotte	1891	450		article
10533	27771	90156x1891x56	AMN-1891-456	Nouveau mode de transport des blessés à bord des bâtiments. Par le Docteur Guézennec	1891	456		article
10534	27778	90156x1891x56	AMN-1891-463	Clinique médicale. / Abcès de la rate. Par le Docteur Gentilhomme	1891	463		article
10535	27779	90156x1891x56	AMN-1891-464	Béribéri observé en Nouvelle-Calédonie sur un convoi d'annamites. / Transmission de la maladie à des canaques	1891	464		article
10536	27780	90156x1891x56	AMN-1891-465	Fièvre à forme rémittente bilieuse observée sur lui-même et traitée par le kinkélibah (Combretum Raimbaultii, Heckel). Par le Docteur Rançon	1891	465		article
10537	27782	90156x1891x56	AMN-1891-467	Pathologie interne. Tuberculose et grippe. Par le Docteur Spyr. Canellis (d'Athènes)	1891	467		article
10538	27783	90156x1891x56	AMN-1891-468	Pathologie interne. Tuberculose et grippe. Par le Docteur Spyr. Canellis (d'Athènes). / Observ. I. / Observ. II	1891	468		article
10539	27784	90156x1891x56	AMN-1891-469	Pathologie interne. Tuberculose et grippe. Par le Docteur Spyr. Canellis (d'Athènes). Observ. II. / Observ. III	1891	469		article
10540	27785	90156x1891x56	AMN-1891-470	Pathologie interne. Tuberculose et grippe. Par le Docteur Spyr. Canellis (d'Athènes). / Dysenterie aiguë. - Hépatite suppurée. Ouverture par la méthode de Little. - Guérison. / Observation extraite du rapport médical de la martinique. Par le Docteur Cauvy	1891	470		article
10547	27800	90156x1892x57	AMN-1892-5	Étude hygiénique du « Hoche ». Par le Docteur Bodet	1892	5	 / Topographie hygiénique du navire	article
10566	27824	90156x1892x57	AMN-1892-29	III. Pratique médicale. Un appareil à pneumothorax construit « Par les moyens du bord » par M. le médecin de 1re classe Roux, 	1892	29	 IV. Notes de laboratoire. Note sur le dosage du cuivre dans les aciers au moyen de la salicylaldoxime par M. le pharmacien chimiste de 1re classe Jean. Mode opératoire. 1° Réactif salicylaldoxime	article
10620	27923	90156x1892x57	AMN-1892-128	Notes de pathologie exotique. Paludisme et puerpéralité. Par le Docteur Clarac	1892	128	 / Observ. I. / Observ. II	article
10623	27927	90156x1892x57	AMN-1892-132	Le ferment de l'opium des fumeurs et la fermentation artificielle des chandoos. Par le Dr A. Calmette	1892	132		article
10625	27935	90156x1892x57	AMN-1892-140	Contribution à la géographie médicale. Extrait du rapport de la division navale du levant (1887-1889). Par le Dr Trabaud	1892	140	 Tripolitaine. / Port de Solloum. / Marsa, Tébruck	article
10638	27950	90156x1892x57	AMN-1892-155	Variétés. Concours de la Société française d'hygiène 1892 et 1893. / Prix de médecine navale pour 1891	1892	155		article
10640	27956	90156x1892x57	AMN-1892-161	Étude expérimentale du venin de Naja tripudians ou Cobra Capel et exposé d'une méthode de neutralisation de ce venin dans l'organisme. Par le Dr A. Calmette	1892	161		article
10645	27967	90156x1892x57	AMN-1892-172	II. Travaux originaux. L'Érythème noueux chez l'adolescent et l'adulte par M. H. Mondon, 	1892	172	 Observation XII / Observation XIII	article
10661	27986	90156x1892x57	AMN-1892-191	Contribution à la géographie médicale. / Extrait du rapport de la division navale du Levant (1887-1889). Par le Dr Trabaud	1892	191	 (Suite et fin)	article
10662	27987	90156x1892x57	AMN-1892-192	Contribution à la géographie médicale. Extrait du rapport de la division navale du Levant (1887-1889). Par le Dr Trabaud	1892	192	 (Suite et fin). / Le Pirée	article
10664	27993	90156x1892x57	AMN-1892-198	Épidémie de typhus à l'île Tudy (Finistère) (Mai-Août 1891). Par M. le docteur Touren	1892	198		article
10679	28010	90156x1892x57	AMN-1892-215	Commission mixte d'abornement des frontières Sino-Annamites. / Rapport médical sur la campagne 1890-1891. Par le Docteur Péthellaz	1892	215		article
10680	28016	90156x1892x57	AMN-1892-221	IV. - Actualités thérapeutiques. Considérations actuelles sur la gale. Son traitement à l'hôpital de Sidi-Abdallah par M. Godal, 	1892	221	 et M. Miqueu, .. / Modes de contamination / Fréquence de la gale et ses causes	article
10682	28023	90156x1892x57	AMN-1892-228	Commission mixte d'abornement des frontières Sino-Annamites. Rapport médical sur la campagne 1890-1891. Par le Docteur Péthellaz	1892	228	 Doï-Nam-Haï. / Chi-Ma-Haï	article
10688	28039	90156x1892x57	AMN-1892-244	État sanitaire du Tonkin pendant l'année 1890. Par le Docteur De Fornel	1892	244		article
10691	28048	90156x1892x57	AMN-1892-253	II. Travail original. Les poissons venimeux sur notre littoral méditerranéen. Par le docteur Jean des Roseaux, 	1892	253	 / Historique	article
10701	28065	90156x1892x57	AMN-1892-270	Modifications physiologiques de l'Européen en pays chaud salubre. Par le Docteur H. Gros	1892	270	 3° Capacité thoracique. / Force de traction	article
10703	28072	90156x1892x57	AMN-1892-277	Un cas de rupture du canal de l'urèthre observé à bord du Vauban en 1887. Par le Docteur Kermorgant	1892	277	 / Note sur la présence du bacille pyocyanique dans le sang et dans l'intestin de dysentériques en Cochinchine. Par le Docteur Albert Calmette..	article
10704	28073	90156x1892x57	AMN-1892-278	Note sur la présence du bacille pyocyanique dans le sang et dans l'intestin de dysentériques en Cochinchine. Par le Docteur Albert Calmette	1892	278	 / Observ. I	article
10707	28076	90156x1892x57	AMN-1892-281	Considérations hygiéniques et sanitaires sur Taiti. Par le Docteur Sérès	1892	281	 / Tuberculose et ses formes	article
10710	28080	90156x1892x57	AMN-1892-285	Rapport médical sur la colonne expéditionnaire de l'île d'Anjouan 20 avril 1891-15 juillet 1891. Par le Docteur Kieffer	1892	285	 / Effectif	article
10715	28088	90156x1892x57	AMN-1892-293	II. Bulletin clinique. / Agranulocytose et ictère grave après sulfamidothérapie. Par MM. Mondon (II.) et André (J. J. L.)	1892	293	 / Observation clinique	article
10716	28089	90156x1892x57	AMN-1892-294	II. Bulletin clinique. Agranulocytose et ictère grave après sulfamidothérapie. Par MM. Mondon (II.) et André (J. J. L.)	1892	294	 Observation clinique. / Un diagnostic différentiel exceptionnel de l'ictère. / La caroténémie. H. Mondon et H. Cras	article
10717	28090	90156x1892x57	AMN-1892-295	II. Bulletin clinique. Un diagnostic différentiel exceptionnel de l'ictère. La caroténémie. H. Mondon et H. Cras. / Méningite à pneumocoques guérie par les sulfamides. Par MM. H. Mondon, J. André et J. J. Blein	1892	295		article
10718	28092	90156x1892x57	AMN-1892-297	II. Bulletin clinique. / Maladie de Banti. - Hémorragies digestives. Splénectomie. - Guérison. Par MM. H. Mondon, 	1892	297	 J. L. André, ... J. J. Blein, ... / Observation	article
10719	28093	90156x1892x57	AMN-1892-298	II. Bulletin clinique. Maladie de Banti. - Hémorragies digestives. Splénectomie. - Guérison. Par MM. H. Mondon, 	1892	298	 J. L. André, ... J. J. Blein, ... Observation. / Purpura méningococcique. Guérison par le traitement sulfamidé. Par MM. H. Mondon, J. J. L. André et J. J. Blein..	article
10720	28099	90156x1892x57	AMN-1892-304	Cochinchine et Cambodge. Rapport médical annuel. - Année 1890. Par le Docteur Trucy	1892	304	 / Épidémies	article
10725	28106	90156x1892x57	AMN-1892-311	I. Travaux originaux. / Deux ans de centres d'accueil et colonies de vacances de la marine (1940-1942). Par le médecin de 1re classe Carré	1892	311	 / Préambule. / Première partie	article
10726	28108	90156x1892x57	AMN-1892-313	I. Travaux originaux. Deux ans de centres d'accueil et colonies de vacances de la marine (1940-1942). Par le médecin de 1re classe Carré	1892	313	 Préambule. / Historique des centres d'accueil	article
10735	28127	90156x1892x57	AMN-1892-332	I. Travaux originaux. / Le paludisme dans les effectifs de la marine en Corse depuis le début des hostilités. Par le Docteur Coulon, 	1892	332	 et le médecin principal Rosenstiel, ..	article
10736	28135	90156x1892x57	AMN-1892-340	Contribution à la géographie médicale. De l'Islande. Par le Docteur Kermorgant	1892	340	 Des maladies. / Pathologie externe. / Pathologie interne	article
10748	28160	90156x1892x57	AMN-1892-365	Quelques considérations sur l'éléphantiasis. Examiné surtout au point de vue de l'étiologie. Par le Docteur H. Gros	1892	365		article
10761	28176	90156x1892x57	AMN-1892-381	Bulletin clinique. / Syndrome malin tardif de la diphtérie guérison. Par M. H. Mondon, 	1892	381	 et M. J. André, ... / Observation	article
10762	28177	90156x1892x57	AMN-1892-382	Bulletin clinique. Syndrome malin tardif de la diphtérie guérison. Par M. H. Mondon, 	1892	382	 et M. J. André, ... / Cardiopathie rhumatismale aggravée par l'hyperthyroïdie. / Hyposystolie. Amélioration importante par la thyroïdectomie subtotale. Par MM. H. Mondon, G. Le Meur, R. Feillard. / Observation	article
10763	28179	90156x1892x57	AMN-1892-384	De l'intervention chirurgicale dans les affections du rachis. Par le Docteur Auffret	1892	384	 / I. Un cas de fracture de rachis. (Apophyses épineuses et lames de 4e et 5e vertèbres cervicales). / Opération. - Mort. / Observ. II	article
10773	28196	90156x1892x57	AMN-1892-401	Contribution à la géographie médicale. / Établissements français du golfe du Bénin. Par le Docteur Siciliano	1892	401	 / Géographie	article
10774	28200	90156x1892x57	AMN-1892-405	Contribution à la géographie médicale. Établissements français du golfe du Bénin. Par le Docteur Siciliano	1892	405	 Géographie. / Constitution géologique	article
10784	28217	90156x1892x57	AMN-1892-422	Relation d'une épidémie de grippe en Nouvelle-Calédonie. Par le Docteur Grall	1892	422	 / I	article
10786	28219	90156x1892x57	AMN-1892-424	Marche de l'épidémie (Extrait des rapports des médecins des postes). / Presqu'île Ducos. / Ile Nou	1892	424		article
10787	28222	90156x1892x57	AMN-1892-427	Marche de l'épidémie (Extrait des rapports des médecins des postes). Ile Nou. / Nouméa. / Groupe civil. / Ile des Pins	1892	427		article
10788	28224	90156x1892x57	AMN-1892-429	Marche de l'épidémie (Extrait des rapports des médecins des postes). Ile des Pins. / Bourail. / Païta. / Thio	1892	429		article
10789	28225	90156x1892x57	AMN-1892-430	Marche de l'épidémie (Extrait des rapports des médecins des postes). Thio. / Houaïlou	1892	430		article
10790	28226	90156x1892x57	AMN-1892-431	Marche de l'épidémie (Extrait des rapports des médecins des postes). Houaïlou. / Canala	1892	431		article
10791	28227	90156x1892x57	AMN-1892-432	Marche de l'épidémie (Extrait des rapports des médecins des postes). Canala. / Oégoa	1892	432		article
10792	28228	90156x1892x57	AMN-1892-433	II. Bulletin clinique. / Les phlébites des fièvres exanthématiques par MM. H. Mondon, 	1892	433	 et J. L. André,... / Observation	article
10793	28229	90156x1892x57	AMN-1892-434	II. Bulletin clinique. Les phlébites des fièvres exanthématiques par MM. H. Mondon, 	1892	434	 et J. L. André,... Observation. / Complication. / Traitement	article
10795	28231	90156x1892x57	AMN-1892-436	II. Bulletin clinique. Un cas de pleurésie scintillante à cholestérine par MM. J. Querangal des Essarts,	1892	436	 et Humbert,... / Observation	article
10797	28233	90156x1892x57	AMN-1892-438	II. Bulletin clinique. Cirrhose bronzée apparue au même âge (29 ans) chez deux frères jumeaux par MM. Lafferre,	1892	438	, Mavic et Nun,... Observation I. / Observation II	article
10798	28239	90156x1892x57	AMN-1892-444	Choléra observé à bord des navires de la division navale de l'extrême orient (1890-1891). Par le Docteur Comme	1892	444	 / Observ. I	article
10806	28247	90156x1892x57	AMN-1892-452	Variétés. Concours sur la question des secours aux victimes des guerres maritimes et des combats sur mer. [Dr F. Bouloumié.]. / Mémoire sur la première partie du concours de l'extension des principes de la convention de Genève aux victimes des guerres maritimes	1892	452		article
10807	28262	90156x1892x57	AMN-1892-467	Variétés. Mémoire sur la première partie du concours de l'extension des principes de la convention de Genève aux victimes des guerres maritimes. / Projet de convention internationale au sujet des secours aux victimes des combats sur mer	1892	467		article
10808	28264	90156x1892x57	AMN-1892-469	Variétés. / Rapport de M. Louis Renault, professeur de droit des gens à la faculté de droit de Paris	1892	469		article
10809	28268	90156x1892x57	AMN-1892-473	Variétés. Rapport de M. Louis Renault, professeur de droit des gens à la faculté de droit de Paris. (A continuer.). / Clinique. / Myélite à frigore observée à bord de la « Naiade ». Par M. le Docteur Siciliano	1892	473		article
10810	28269	90156x1892x57	AMN-1892-474	Clinique. Myélite à frigore observée à bord de la « Naiade ». Par M. le Docteur Siciliano	1892	474	 / Bibliographie. / Aide-mémoire de clinique médicale et de diagnostic. Par le professeur Paul Lefert... Paris, J.-B. Baillère et fils, éditeurs, 19, rue Hautefeuille	article
10815	28280	90156x1892x58	AMN-1892-5	III. Bulletin clinique. Traitement de la syphilis primaire par les arsénones par le Médecin de 1re classe Aury et le Docteur Torlais,	1892	5	 / Phrénicotomie par voie endopleurale par les Médecins de 1re classe Cazenave et Copin, phtisiologues..	article
10816	28298	90156x1892x58	AMN-1892-23	Les vaccinations antirabiques pratiquées à Saïgon du 15 avril au 1er mai 1892. Par le Docteur Albert Calmette	1892	23		article
10819	28302	90156x1892x58	AMN-1892-27	Notice descriptive d'un nouveau coffre médical, dit « coffre de combat ». Par le Docteur Cazeau	1892	27	 / Coffre proprement dit. / Extérieur. / Intérieur	article
10824	28312	90156x1892x58	AMN-1892-37	L'armée coloniale au point de vue de l'hygiène pratique. Par le Docteur G. Reynaud	1892	37	 Introduction. / Composition et recrutement de l'armée coloniale. / Sommaire	article
10832	28326	90156x1892x58	AMN-1892-51	III. Travaux édités. / Action de la pénicilline sur le bacile pesteux par le médecin principal E. Magrou, 	1892	51	, et par le médecin de 1re classe Brisou, ... (Société de Médecine militaire française, 11 janvier 1945.)	article
10833	28328	90156x1892x58	AMN-1892-53	III. Travaux édités. / À propos de la présence d'agglutinines anti-Eberth para A ou para B dans le sérum de sujets, vaccinés au T. A. B., atteints de typhus murin nautique par F. Le Chuiton et C. Berge	1892	53	 13 juin 1945). [Résumé.]	article
10835	28330	90156x1892x58	AMN-1892-55	I. Travaux originaux. / L'évolution des idées dans la science de l'immunité, influences et acquisitions de la physico-chimie moderne, par M. Bourgain, 	1892	55	 / Aspects, vues philosophiques	article
10836	28331	90156x1892x58	AMN-1892-56	I. Travaux originaux. L'évolution des idées dans la science de l'immunité, influences et acquisitions de la physico-chimie moderne, par M. Bourgain, 	1892	56	 Aspects, vues philosophiques. / Conceptions et inconnues	article
10840	28343	90156x1892x58	AMN-1892-68	Variétés. / Concours sur la question des secours aux victimes des guerres maritimes et des combats sur mer (Suite et fin)	1892	68		article
10841	28348	90156x1892x58	AMN-1892-73	Variétés. Concours sur la question des secours aux victimes des guerres maritimes et des combats sur mer (Suite et fin). / Nouvelles armes à feu	1892	73		article
10842	28350	90156x1892x58	AMN-1892-75	Variétés. Nouvelles armes à feu. / Conseils aux soldats pour une expédition dans les pays tropicaux	1892	75		article
10845	28356	90156x1892x58	AMN-1892-81	Hygiène des navires de guerre. / Traité d'hygiène navale de M. le Dr Plumerk dont les disposition viennent d'être rendues obligatoires dans la marine Autrichienne à la date du 19 février 1892. Étude. Par le Docteur H. Gros	1892	81		article
10846	28365	90156x1892x58	AMN-1892-90	II. Bulletin clinique. Le traitement de la blennorragie par la penicilline, par le Docteur Jacques Gandin, 	1892	90	 1. Etude clinique. / 2. Posologie	article
10849	28373	90156x1892x58	AMN-1892-98	Notes sur Yéso (Japon) recueillies dans le cours d'une campagne dans les mers de Chine et du Japon. Par le Docteur Kermorgant	1892	98		article
10850	28375	90156x1892x58	AMN-1892-100	Feuillets de laboratoire. Résultats fournis par l'examen du liquide céphalo-rachidien, par M. le Dr Fichet, 	1892	100	 III. Aspect microscopique. / IV. Réactions chimiques	article
10852	28378	90156x1892x58	AMN-1892-103	Notes et mémoires originaux. / La conduite à tenir dans le paludisme, par M. le Dr H. Gros, 	1892	103	 / I	article
10853	28379	90156x1892x58	AMN-1892-104	Notes et mémoires originaux. La conduite à tenir dans le paludisme, par M. le Dr H. Gros, 	1892	104	 I. / II	article
10858	28386	90156x1892x58	AMN-1892-111	Notes et mémoires originaux. La question des anesthésies (Fin), par M. le Dr Jules Regnault, 	1892	111	 Les anesthésies locale et régionale dans diverses opérations (technique et statistique de nos principales opérations). Thorax. / Sein. / Abdomen. / 1° Hernies (hernies inguinales, 470 ; hernies ombilicales, 5 ; hernies crurales, 20 ; hernies épigastriques, 13)	article
10862	28395	90156x1892x58	AMN-1892-120	Hygiène et épidémiologie. La défense sanitaire de la Tunisie en 1916 contre le choléra asiatique et le typhus exanthématique, par le Médecin général Barthélemy, 	1892	120	, et le Médecin principal F. Brunet, ... I. / II	article
10863	28397	90156x1892x58	AMN-1892-122	Bulletin clinique. Cancer des séreuses. Le signe des taches de bougie, par M. le Dr G. Jean, 	1892	122	 / Observation I	article
10865	28400	90156x1892x58	AMN-1892-125	Bulletin clinique. Occlusion intestinale aiguë par invagination du segment iléo-caecal. Intervention précoce, désinvagination, iléo-caecopexie. - Guérison, par M. le Dr Oudard, 	1892	125		article
